产品,酒质,产线,生产日期,班次,计划生产量
P0013,Q03,L06,2024-03-01,中班,34000
P0013,Q03,L06,2024-03-01,早班,34000
P0043,Q03,L11,2024-03-01,早班,35000
P0070,Q03,L02,2024-03-01,中班,32500
P0059,Q08,L13,2024-03-01,中班,13000
P0059,Q08,L13,2024-03-01,早班,13000
P0081,Q06,L07,2024-03-01,早班,21500
P0014,Q03,L10,2024-03-01,早班,110000
P0081,Q06,L04,2024-03-01,中班,21500
P0087,Q03,L03,2024-03-01,中班,5900
P0081,Q06,L04,2024-03-01,早班,21500
P0081,Q06,L07,2024-03-01,中班,21500
P0043,Q03,L11,2024-03-01,中班,35000
P0070,Q03,L02,2024-03-01,早班,32500
P0004,Q02,L08,2024-03-01,早班,35000
P0087,Q03,L03,2024-03-01,早班,5900
P0088,Q03,L03,2024-03-01,,35400
P0083,Q03,L09,2024-03-01,中班,19000
P0088,Q03,L03,2024-03-01,,35400
P0011,Q03,L09,2024-03-04,早班,14000
P0070,Q03,L02,2024-03-04,早班,32500
P0013,Q03,L06,2024-03-04,中班,34000
P0014,Q03,L10,2024-03-04,早班,110000
P0070,Q03,L02,2024-03-04,中班,32500
P0070,Q03,L03,2024-03-04,中班,42000
P0013,Q03,L14,2024-03-04,中班,28000
P0004,Q02,L08,2024-03-04,早班,35000
P0059,Q08,L13,2024-03-04,早班,13000
P0070,Q03,L03,2024-03-04,早班,42000
P0043,Q03,L11,2024-03-04,早班,35000
P0043,Q03,L11,2024-03-04,中班,35000
P0011,Q03,L09,2024-03-04,中班,14000
P0013,Q03,L14,2024-03-04,早班,28000
P0022,Q11,L01,2024-03-04,中班,18000
P0013,Q03,L06,2024-03-04,早班,34000
P0022,Q11,L01,2024-03-04,早班,18000
P0011,Q03,L09,2024-03-05,早班,14000
P0013,Q03,L06,2024-03-05,中班,25000
P0043,Q03,L11,2024-03-05,早班,35000
P0011,Q03,L09,2024-03-05,中班,14000
P0013,Q03,L06,2024-03-05,早班,25000
P0070,Q03,L03,2024-03-05,中班,42000
P0004,Q02,L08,2024-03-05,早班,35000
P0070,Q03,L03,2024-03-05,早班,42000
P0022,Q11,L01,2024-03-05,早班,18000
P0014,Q03,L10,2024-03-05,早班,110000
P0043,Q03,L11,2024-03-05,中班,35000
P0070,Q03,L02,2024-03-05,中班,32500
P0013,Q03,L14,2024-03-05,中班,28000
P0070,Q03,L02,2024-03-05,早班,32500
P0022,Q11,L01,2024-03-05,中班,18000
P0013,Q03,L14,2024-03-05,早班,28000
P0059,Q08,L13,2024-03-05,早班,13000
P0081,Q06,L04,2024-03-06,中班,21500
P0011,Q03,L09,2024-03-06,早班,14000
P0070,Q03,L03,2024-03-06,中班,42000
P0081,Q06,L07,2024-03-06,中班,21500
P0070,Q03,L02,2024-03-06,早班,32500
P0081,Q06,L07,2024-03-06,早班,21500
P0014,Q03,L10,2024-03-06,早班,110000
P0013,Q03,L14,2024-03-06,早班,28000
P0043,Q03,L11,2024-03-06,中班,35000
P0043,Q03,L11,2024-03-06,早班,35000
P0081,Q06,L04,2024-03-06,早班,21500
P0022,Q11,L01,2024-03-06,早班,18000
P0059,Q08,L13,2024-03-06,早班,13000
P0011,Q03,L09,2024-03-06,中班,14000
P0004,Q02,L08,2024-03-06,早班,35000
P0070,Q03,L03,2024-03-06,早班,42000
P0022,Q11,L01,2024-03-06,中班,18000
P0011,Q03,L09,2024-03-07,早班,14000
P0070,Q03,L03,2024-03-07,中班,42000
P0043,Q03,L11,2024-03-07,中班,35000
P0081,Q06,L04,2024-03-07,中班,21500
P0081,Q06,L07,2024-03-07,中班,21500
P0004,Q02,L08,2024-03-07,早班,35000
P0022,Q11,L01,2024-03-07,中班,18000
P0070,Q03,L02,2024-03-07,早班,32500
P0043,Q03,L11,2024-03-07,早班,35000
P0070,Q03,L03,2024-03-07,早班,42000
P0011,Q03,L09,2024-03-07,中班,14000
P0014,Q03,L10,2024-03-07,早班,110000
P0013,Q03,L14,2024-03-07,早班,28000
P0081,Q06,L04,2024-03-07,早班,21500
P0022,Q11,L01,2024-03-07,早班,18000
P0059,Q08,L13,2024-03-07,早班,13000
P0081,Q06,L07,2024-03-07,早班,21500
P0014,Q03,L10,2024-03-08,早班,110000
P0043,Q03,L11,2024-03-08,中班,35000
P0081,Q06,L04,2024-03-08,中班,21500
P0059,Q08,L13,2024-03-08,早班,13000
P0022,Q11,L01,2024-03-08,中班,18000
P0013,Q03,L14,2024-03-08,早班,28000
P0081,Q06,L04,2024-03-08,早班,21500
P0070,Q03,L02,2024-03-08,早班,32500
P0087,Q03,L03,2024-03-08,中班,5900
P0080,Q06,L07,2024-03-08,,21000
P0088,Q03,L03,2024-03-08,,35400
P0011,Q03,L09,2024-03-08,早班,14000
P0004,Q02,L08,2024-03-08,早班,35000
P0011,Q03,L09,2024-03-08,中班,14000
P0043,Q03,L11,2024-03-08,早班,35000
P0022,Q11,L01,2024-03-08,早班,18000
P0087,Q03,L03,2024-03-08,早班,5900
P0079,Q06,L07,2024-03-08,中班,10500
P0079,Q06,L07,2024-03-08,早班,10500
P0080,Q06,L07,2024-03-08,,21000
P0088,Q03,L03,2024-03-08,,35400
P0070,Q03,L03,2024-03-11,中班,42000
P0081,Q06,L07,2024-03-11,中班,21500
P0081,Q06,L07,2024-03-11,早班,21500
P0059,Q08,L13,2024-03-11,早班,13000
P0083,Q03,L09,2024-03-11,中班,19000
P0025,Q03,L02,2024-03-11,早班,6000
P0026,Q03,L02,2024-03-11,,30000
P0022,Q11,L01,2024-03-11,早班,18000
P0014,Q03,L10,2024-03-11,早班,110000
P0043,Q03,L11,2024-03-11,早班,35000
P0081,Q06,L04,2024-03-11,早班,21500
P0027,Q03,L02,2024-03-11,中班,6000
P0004,Q02,L08,2024-03-11,早班,35000
P0011,Q03,L09,2024-03-11,早班,14000
P0043,Q03,L11,2024-03-11,中班,35000
P0022,Q11,L01,2024-03-11,中班,18000
P0028,Q03,L14,2024-03-11,,28000
P0028,Q03,L02,2024-03-11,,30000
P0070,Q03,L03,2024-03-11,早班,42000
P0027,Q03,L14,2024-03-11,早班,5600
P0025,Q03,L02,2024-03-12,早班,6000
P0015,Q03,L11,2024-03-12,早班,35000
P0027,Q03,L14,2024-03-12,早班,5600
P0081,Q06,L07,2024-03-12,早班,21500
P0026,Q03,L02,2024-03-12,,30000
P0081,Q06,L07,2024-03-12,中班,21500
P0028,Q03,L02,2024-03-12,,30000
P0027,Q03,L02,2024-03-12,中班,6000
P0083,Q03,L09,2024-03-12,中班,19000
P0028,Q03,L14,2024-03-12,,28000
P0059,Q08,L13,2024-03-12,早班,13000
P0015,Q03,L11,2024-03-12,中班,35000
P0081,Q06,L04,2024-03-12,早班,21500
P0022,Q11,L01,2024-03-12,中班,18000
P0014,Q03,L10,2024-03-12,早班,110000
P0070,Q03,L03,2024-03-12,早班,42000
P0083,Q03,L09,2024-03-12,早班,19000
P0070,Q03,L03,2024-03-12,中班,42000
P0004,Q02,L08,2024-03-12,早班,35000
P0022,Q11,L01,2024-03-12,早班,18000
P0013,Q03,L08,2024-03-13,早班,35000
P0081,Q06,L07,2024-03-13,早班,21500
P0083,Q03,L09,2024-03-13,早班,19000
P0070,Q03,L03,2024-03-13,早班,42000
P0022,Q11,L01,2024-03-13,早班,18000
P0013,Q03,L11,2024-03-13,中班,35000
P0026,Q03,L02,2024-03-13,,30000
P0025,Q03,L02,2024-03-13,早班,6000
P0059,Q08,L13,2024-03-13,早班,13000
P0083,Q03,L09,2024-03-13,中班,19000
P0070,Q03,L03,2024-03-13,中班,42000
P0013,Q03,L11,2024-03-13,早班,35000
P0014,Q03,L10,2024-03-13,早班,110000
P0027,Q03,L02,2024-03-13,中班,6000
P0081,Q06,L04,2024-03-13,早班,21500
P0027,Q03,L14,2024-03-13,早班,5600
P0028,Q03,L02,2024-03-13,,30000
P0081,Q06,L07,2024-03-13,中班,21500
P0028,Q03,L14,2024-03-13,,28000
P0022,Q11,L01,2024-03-13,中班,18000
P0013,Q03,L08,2024-03-14,早班,35000
P0081,Q06,L07,2024-03-14,中班,21500
P0088,Q03,L03,2024-03-14,,35400
P0028,Q03,L14,2024-03-14,,28000
P0013,Q03,L11,2024-03-14,早班,35000
P0027,Q03,L02,2024-03-14,中班,6000
P0027,Q03,L14,2024-03-14,早班,5600
P0088,Q03,L03,2024-03-14,,35400
P0087,Q03,L03,2024-03-14,早班,5900
P0059,Q08,L13,2024-03-14,早班,13000
P0083,Q03,L09,2024-03-14,中班,19000
P0025,Q03,L02,2024-03-14,早班,6000
P0083,Q03,L09,2024-03-14,早班,19000
P0028,Q03,L02,2024-03-14,,30000
P0014,Q03,L10,2024-03-14,早班,110000
P0081,Q06,L04,2024-03-14,早班,21500
P0081,Q06,L07,2024-03-14,早班,21500
P0022,Q11,L01,2024-03-14,中班,18000
P0026,Q03,L02,2024-03-14,,30000
P0022,Q11,L01,2024-03-14,早班,18000
P0087,Q03,L03,2024-03-14,中班,5900
P0013,Q03,L11,2024-03-14,中班,35000
P0013,Q03,L11,2024-03-15,早班,35000
P0028,Q03,L02,2024-03-15,,30000
P0083,Q03,L09,2024-03-15,中班,19000
P0022,Q11,L01,2024-03-15,中班,18000
P0013,Q03,L11,2024-03-15,中班,35000
P0026,Q03,L02,2024-03-15,,30000
P0059,Q08,L13,2024-03-15,早班,13000
P0025,Q03,L02,2024-03-15,早班,6000
P0013,Q03,L08,2024-03-15,早班,35000
P0014,Q03,L10,2024-03-15,早班,110000
P0027,Q03,L02,2024-03-15,中班,6000
P0088,Q03,L03,2024-03-15,,35400
P0022,Q11,L01,2024-03-15,早班,18000
P0088,Q03,L03,2024-03-15,,35400
P0087,Q03,L03,2024-03-15,中班,5900
P0087,Q03,L03,2024-03-15,早班,5900
P0083,Q03,L09,2024-03-15,早班,19000
P0082,Q06,L04,2024-03-15,早班,13000
P0080,Q06,L07,2024-03-15,,21000
P0079,Q06,L07,2024-03-15,早班,10500
P0080,Q06,L07,2024-03-15,,21000
P0079,Q06,L07,2024-03-15,中班,10500
P0060,Q09,L13,2024-03-15,中班,13000
P0022,Q11,L01,2024-03-16,早班,18000
P0060,Q09,L13,2024-03-16,早班,13000
P0083,Q03,L09,2024-03-16,中班,19000
P0013,Q03,L11,2024-03-16,中班,35000
P0013,Q03,L11,2024-03-16,早班,35000
P0013,Q03,L08,2024-03-16,早班,35000
P0025,Q03,L02,2024-03-16,早班,6000
P0026,Q03,L02,2024-03-16,,30000
P0087,Q03,L03,2024-03-16,中班,5900
P0082,Q06,L04,2024-03-16,早班,13000
P0022,Q11,L01,2024-03-16,中班,18000
P0061,Q10,L13,2024-03-16,中班,13000
P0083,Q03,L09,2024-03-16,早班,19000
P0014,Q03,L10,2024-03-16,早班,110000
P0088,Q03,L03,2024-03-16,,35400
P0087,Q03,L03,2024-03-16,早班,5900
P0080,Q06,L07,2024-03-16,,21000
P0079,Q06,L07,2024-03-16,中班,10500
P0007,Q07,L07,2024-03-16,早班,250
P0080,Q06,L07,2024-03-16,,16000
P0079,Q06,L07,2024-03-16,早班,8000
P0088,Q03,L03,2024-03-16,,35400
P0026,Q03,L02,2024-03-16,,30000
P0025,Q03,L02,2024-03-16,中班,6000
P0083,Q03,L09,2024-03-18,中班,19000
P0022,Q11,L01,2024-03-18,早班,18000
P0081,Q06,L07,2024-03-18,中班,21500
P0059,Q08,L13,2024-03-18,早班,13000
P0070,Q03,L03,2024-03-18,早班,42000
P0013,Q03,L11,2024-03-18,早班,35000
P0081,Q06,L07,2024-03-18,早班,21500
P0013,Q03,L12,2024-03-18,早班,35000
P0026,Q03,L02,2024-03-18,,30000
P0025,Q03,L02,2024-03-18,早班,6000
P0070,Q03,L03,2024-03-18,中班,20000
P0013,Q03,L11,2024-03-18,中班,35000
P0014,Q03,L10,2024-03-18,早班,110000
P0022,Q11,L01,2024-03-18,中班,18000
P0082,Q06,L04,2024-03-18,早班,13000
P0027,Q03,L14,2024-03-18,早班,5200
P0028,Q03,L14,2024-03-18,,26000
P0091,Q03,L09,2024-03-18,早班,4
P0013,Q03,L08,2024-03-18,中班,35000
P0083,Q03,L09,2024-03-18,早班,19000
P0083,Q03,L09,2024-03-19,早班,19000
P0083,Q03,L09,2024-03-19,中班,19000
P0013,Q03,L11,2024-03-19,中班,35000
P0070,Q03,L03,2024-03-19,早班,42000
P0070,Q03,L03,2024-03-19,中班,42000
P0082,Q06,L04,2024-03-19,早班,13000
P0013,Q03,L08,2024-03-19,中班,35000
P0022,Q11,L01,2024-03-19,早班,18000
P0013,Q03,L11,2024-03-19,早班,35000
P0027,Q03,L14,2024-03-19,早班,5200
P0081,Q06,L07,2024-03-19,中班,21500
P0025,Q03,L02,2024-03-19,早班,6000
P0028,Q03,L14,2024-03-19,,26000
P0081,Q06,L07,2024-03-19,早班,21500
P0014,Q03,L10,2024-03-19,早班,110000
P0059,Q08,L13,2024-03-19,早班,13000
P0022,Q11,L01,2024-03-19,中班,18000
P0013,Q03,L12,2024-03-19,早班,35000
P0026,Q03,L02,2024-03-19,,30000
P0027,Q03,L14,2024-03-20,早班,5200
P0022,Q11,L01,2024-03-20,中班,18000
P0087,Q03,L03,2024-03-20,早班,5900
P0013,Q03,L12,2024-03-20,早班,35000
P0059,Q08,L13,2024-03-20,早班,13000
P0014,Q03,L03,2024-03-20,中班,35000
P0022,Q11,L01,2024-03-20,早班,18000
P0028,Q03,L14,2024-03-20,,26000
P0013,Q03,L11,2024-03-20,早班,35000
P0088,Q03,L03,2024-03-20,,35400
P0013,Q03,L11,2024-03-20,中班,35000
P0013,Q03,L08,2024-03-20,早班,35000
P0014,Q03,L10,2024-03-20,早班,110000
P0013,Q03,L08,2024-03-20,中班,35000
P0088,Q03,L03,2024-03-20,,35400
P0087,Q03,L03,2024-03-20,中班,5900
P0081,Q06,L07,2024-03-20,早班,21500
P0017,Q03,L02,2024-03-20,早班,1000
P0082,Q06,L04,2024-03-20,早班,13000
P0081,Q06,L07,2024-03-20,中班,21500
P0018,Q03,L02,2024-03-20,早班,30000
P0083,Q03,L09,2024-03-20,早班,19000
P0004,Q02,L08,2024-03-20,中班,35000
P0083,Q03,L09,2024-03-20,中班,19000
P0013,Q03,L11,2024-03-21,中班,35000
P0004,Q02,L08,2024-03-21,中班,35000
P0004,Q02,L08,2024-03-21,早班,35000
P0083,Q03,L09,2024-03-21,中班,19000
P0014,Q03,L10,2024-03-21,早班,110000
P0059,Q08,L13,2024-03-21,早班,13000
P0022,Q11,L01,2024-03-21,早班,18000
P0059,Q08,L13,2024-03-21,中班,13000
P0022,Q11,L01,2024-03-21,中班,18000
P0018,Q03,L02,2024-03-21,早班,30000
P0081,Q06,L07,2024-03-21,早班,21500
P0088,Q03,L03,2024-03-21,,35400
P0087,Q03,L03,2024-03-21,中班,5900
P0081,Q06,L07,2024-03-21,中班,21500
P0083,Q03,L09,2024-03-21,早班,19000
P0013,Q03,L11,2024-03-21,早班,35000
P0082,Q06,L04,2024-03-21,早班,13000
P0087,Q03,L03,2024-03-21,早班,5900
P0088,Q03,L03,2024-03-21,,35400
P0007,Q07,L07,2024-03-22,中班,159
P0018,Q03,L02,2024-03-22,早班,30000
P0083,Q03,L09,2024-03-22,中班,19000
P0022,Q11,L01,2024-03-22,中班,18000
P0088,Q03,L03,2024-03-22,,35400
P0087,Q03,L03,2024-03-22,早班,5900
P0022,Q11,L01,2024-03-22,早班,18000
P0013,Q03,L11,2024-03-22,早班,35000
P0059,Q08,L13,2024-03-22,早班,13000
P0059,Q08,L13,2024-03-22,中班,13000
P0082,Q06,L04,2024-03-22,早班,13000
P0083,Q03,L09,2024-03-22,早班,19000
P0081,Q06,L07,2024-03-22,中班,19500
P0007,Q07,L07,2024-03-22,早班,160
P0004,Q02,L08,2024-03-22,中班,35000
P0013,Q03,L11,2024-03-22,中班,35000
P0014,Q03,L10,2024-03-22,早班,110000
P0088,Q03,L03,2024-03-22,,35400
P0081,Q06,L07,2024-03-22,早班,19500
P0004,Q02,L08,2024-03-22,早班,35000
P0087,Q03,L03,2024-03-22,中班,5900
P0013,Q03,L11,2024-03-25,早班,35000
P0028,Q03,L02,2024-03-25,,30000
P0081,Q06,L07,2024-03-25,中班,21500
P0004,Q02,L08,2024-03-25,中班,35000
P0088,Q03,L03,2024-03-25,,35400
P0087,Q03,L03,2024-03-25,早班,5900
P0004,Q02,L08,2024-03-25,早班,35000
P0064,Q12,L09,2024-03-25,中班,18500
P0027,Q03,L02,2024-03-25,中班,6000
P0026,Q03,L02,2024-03-25,,30000
P0025,Q03,L02,2024-03-25,早班,6000
P0081,Q06,L07,2024-03-25,早班,21500
P0017,Q03,L01,2024-03-25,中班,21000
P0059,Q08,L13,2024-03-25,中班,13000
P0081,Q06,L04,2024-03-25,早班,21500
P0013,Q03,L11,2024-03-25,中班,35000
P0059,Q08,L13,2024-03-25,早班,13000
P0017,Q03,L01,2024-03-25,早班,21000
P0014,Q03,L10,2024-03-25,早班,110000
P0087,Q03,L03,2024-03-25,中班,5900
P0088,Q03,L03,2024-03-25,,35400
P0059,Q08,L13,2024-03-26,早班,13000
P0025,Q03,L02,2024-03-26,早班,6000
P0004,Q02,L08,2024-03-26,早班,35000
P0014,Q03,L10,2024-03-26,早班,110000
P0081,Q06,L04,2024-03-26,早班,21500
P0081,Q06,L07,2024-03-26,早班,21500
P0087,Q03,L03,2024-03-26,早班,5900
P0088,Q03,L03,2024-03-26,,35400
P0017,Q03,L01,2024-03-26,中班,21000
P0087,Q03,L03,2024-03-26,中班,5900
P0088,Q03,L03,2024-03-26,,35400
P0017,Q03,L01,2024-03-26,早班,21000
P0004,Q02,L08,2024-03-26,中班,35000
P0027,Q03,L02,2024-03-26,中班,6000
P0081,Q06,L07,2024-03-26,中班,21500
P0028,Q03,L02,2024-03-26,,30000
P0059,Q08,L13,2024-03-26,中班,13000
P0013,Q03,L11,2024-03-26,早班,35000
P0013,Q03,L11,2024-03-26,中班,35000
P0064,Q12,L09,2024-03-26,中班,18500
P0026,Q03,L02,2024-03-26,,30000
P0088,Q03,L03,2024-03-27,,35400
P0081,Q06,L04,2024-03-27,早班,21500
P0027,Q03,L02,2024-03-27,中班,6000
P0028,Q03,L02,2024-03-27,,30000
P0087,Q03,L03,2024-03-27,中班,5900
P0079,Q06,L07,2024-03-27,早班,10500
P0026,Q03,L02,2024-03-27,,30000
P0059,Q08,L13,2024-03-27,早班,13000
P0059,Q08,L13,2024-03-27,中班,13000
P0013,Q03,L11,2024-03-27,早班,35000
P0013,Q03,L08,2024-03-27,中班,35000
P0079,Q06,L07,2024-03-27,中班,10500
P0080,Q06,L07,2024-03-27,,21000
P0025,Q03,L02,2024-03-27,早班,6000
P0064,Q12,L09,2024-03-27,中班,18500
P0087,Q03,L03,2024-03-27,早班,5900
P0017,Q03,L01,2024-03-27,早班,21000
P0092,Q03,L01,2024-03-27,中班,20000
P0080,Q06,L07,2024-03-27,,21000
P0013,Q03,L08,2024-03-27,早班,35000
P0014,Q03,L10,2024-03-27,早班,110000
P0088,Q03,L03,2024-03-27,,35400
P0013,Q03,L11,2024-03-27,中班,35000
P0079,Q06,L07,2024-03-28,中班,10500
P0026,Q03,L02,2024-03-28,,30000
P0026,Q03,L02,2024-03-28,,30000
P0025,Q03,L02,2024-03-28,中班,6000
P0013,Q03,L08,2024-03-28,早班,35000
P0064,Q12,L09,2024-03-28,中班,18500
P0080,Q06,L07,2024-03-28,,21000
P0079,Q06,L07,2024-03-28,早班,10500
P0080,Q06,L07,2024-03-28,,21000
P0013,Q03,L11,2024-03-28,早班,35000
P0013,Q03,L11,2024-03-28,中班,35000
P0022,Q11,L01,2024-03-28,中班,18000
P0025,Q03,L02,2024-03-28,早班,6000
P0088,Q03,L03,2024-03-28,,35400
P0087,Q03,L03,2024-03-28,中班,5900
P0081,Q06,L04,2024-03-28,早班,21500
P0077,Q09,L13,2024-03-28,中班,2655
P0022,Q11,L01,2024-03-28,早班,18000
P0014,Q03,L10,2024-03-28,早班,110000
P0013,Q03,L08,2024-03-28,中班,35000
P0059,Q08,L13,2024-03-28,早班,13000
P0059,Q08,L13,2024-03-28,中班,5000
P0060,Q09,L13,2024-03-28,中班,3000
P0087,Q03,L03,2024-03-28,早班,5900
P0088,Q03,L03,2024-03-28,,35400
P0013,Q03,L11,2024-03-29,早班,35000
P0064,Q12,L09,2024-03-29,中班,18500
P0013,Q03,L08,2024-03-29,早班,35000
P0070,Q03,L03,2024-03-29,早班,42000
P0041,Q02,L07,2024-03-29,早班,21000
P0081,Q06,L04,2024-03-29,早班,21500
P0018,Q03,L02,2024-03-29,早班,30000
P0041,Q02,L07,2024-03-29,中班,21000
P0014,Q03,L10,2024-03-29,早班,110000
P0013,Q03,L08,2024-03-29,中班,35000
P0060,Q09,L13,2024-03-29,中班,5000
P0022,Q11,L01,2024-03-29,中班,18000
P0061,Q10,L13,2024-03-29,中班,7900
P0070,Q03,L03,2024-03-29,中班,42000
P0022,Q11,L01,2024-03-29,早班,18000
P0081,Q06,L04,2024-03-29,中班,21500
P0060,Q09,L13,2024-03-29,早班,13000
P0013,Q03,L11,2024-03-29,中班,35000
P0088,Q03,L03,2024-04-01,,35400
P0087,Q03,L03,2024-04-01,中班,5900
P0014,Q03,L10,2024-04-01,早班,110000
P0028,Q03,L14,2024-04-01,,26000
P0027,Q03,L14,2024-04-01,中班,5200
P0026,Q03,L14,2024-04-01,,26000
P0088,Q03,L03,2024-04-01,,35400
P0043,Q03,L11,2024-04-01,中班,35000
P0043,Q03,L11,2024-04-01,早班,35000
P0081,Q06,L07,2024-04-01,早班,21500
P0059,Q08,L13,2024-04-01,早班,13000
P0025,Q03,L14,2024-04-01,早班,5200
P0081,Q06,L07,2024-04-01,中班,21500
P0070,Q03,L02,2024-04-01,早班,32500
P0087,Q03,L03,2024-04-01,早班,5900
P0013,Q03,L06,2024-04-01,中班,34000
P0013,Q03,L06,2024-04-01,早班,34000
P0013,Q03,L12,2024-04-01,中班,35000
P0011,Q03,L09,2024-04-01,中班,14000
P0011,Q03,L09,2024-04-01,早班,14000
P0013,Q03,L12,2024-04-01,早班,15000
P0088,Q03,L03,2024-04-02,,35400
P0059,Q08,L13,2024-04-02,早班,13000
P0027,Q03,L14,2024-04-02,中班,5200
P0081,Q06,L14,2024-04-02,中班,500
P0081,Q06,L07,2024-04-02,中班,21500
P0013,Q03,L12,2024-04-02,中班,35000
P0025,Q03,L14,2024-04-02,早班,5200
P0026,Q03,L14,2024-04-02,,26000
P0013,Q03,L06,2024-04-02,早班,34000
P0028,Q03,L14,2024-04-02,,26000
P0013,Q03,L06,2024-04-02,中班,34000
P0081,Q06,L07,2024-04-02,早班,21500
P0011,Q03,L09,2024-04-02,早班,14000
P0043,Q03,L11,2024-04-02,早班,35000
P0043,Q03,L11,2024-04-02,中班,35000
